Columna,Tipo_Dato,Total_Valores,Valores_Nulos,Valores_Unicos,Top_Valor,Media,Minimo,Percentil_25,Mediana,Percentil_75,Maximo,Desviacion_Estandar
CONTRATO,object,527,0,396,37145,,,,,,,
FECHA_PEDIDO,datetime64[ns],527,0,31,2026-03-07 00:00:00,,,,,,,
MOTIVO_PEDIDO,object,527,0,5,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,,,,,,,
PAQUETE_x,object,527,0,17,BASICO TV + INTERNET FIBRA 250MB ($399),,,,,,,
DETALLE_PEDIDO1,object,527,0,179,LOS ROJO,,,,,,,
DETALLE_PEDIDO2,object,527,0,116,nan,,,,,,,
FECHA_CUMPLIMIENTO,datetime64[ns],526,1,34,2026-03-19 00:00:00,,,,,,,
COD_TECNICO,int64,527,0,17,1500039,1746465.10056926,1500014.0,1500039.0,1500047.0,1500374.0,5555555.0,969406.829995278
ESTATUS_x,object,527,0,6,ACTIVO,,,,,,,
ZONA,object,527,0,15,PEDREGAL,,,,,,,
MODEM(S)_x,object,527,0,386,nan,,,,,,,
ESTATUS_y,object,527,0,7,AC,,,,,,,
PAQUETE_y,object,527,0,17,BASINTF250,,,,,,,
FECHA_INSTALACION,datetime64[ns],234,293,142,2025-08-04 00:00:00,,,,,,,
DIAS_ANTIGUEDAD,float64,234,293,223,-58.0,1670.594017094017,-261.0,233.25,1235.0,3252.5,4629.0,1564.8121230337006
DIAS_ATENCION,float64,526,1,10,1.0,1.5779467680608366,0.0,1.0,1.0,2.0,10.0,1.4171091852342408
RX_AVG,float64,496,31,360,-40.0,-25.71956750866481,-40.0,-28.035331858407126,-25.145187654321038,-22.76440880039334,-16.53745575221239,4.379788099496858
SERIAL_NUMBER,object,527,0,352,nan,,,,,,,
ONT_MODEL,object,527,0,26,MN-WIFI2,,,,,,,
SOFTWARE_VERSION,object,527,0,23,V1.7.1,,,,,,,
