Columna,Tipo_Dato,Total_Valores,Valores_Nulos,Valores_Unicos,Top_Valor,Media,Minimo,Percentil_25,Mediana,Percentil_75,Maximo,Desviacion_Estandar
CONTRATO,object,5863,0,2917,41114,,,,,,,
FECHA_PEDIDO,datetime64[ns],5863,0,365,08/10/2025 00:00,,,,,,,
MOTIVO_PEDIDO,object,5863,0,8,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,,,,,,,
PAQUETE_x,object,5863,0,25,INTERNET FIBRA 20MB,,,,,,,
DETALLE_PEDIDO1,object,5863,0,1580,LOS ROJO,,,,,,,
DETALLE_PEDIDO2,object,5863,0,451,nan,,,,,,,
FECHA_CUMPLIMIENTO,datetime64[ns],5863,0,345,09/10/2025 00:00,,,,,,,
COD_TECNICO,int64,5863,0,38,1500039,1579502.026,-1,1500039,1500047,1500285,5555555,562785.8547
ESTATUS_x,object,5863,0,10,ACTIVO,,,,,,,
ZONA,object,5863,0,14,PEDREGAL,,,,,,,
MODEM(S)_x,object,5863,0,2566,nan,,,,,,,
ESTATUS_y,object,5863,0,5,AC,,,,,,,
PAQUETE_y,object,5863,0,20,INT20,,,,,,,
FECHA_INSTALACION,datetime64[ns],2466,3397,700,05/02/2017 00:00,,,,,,,
DIAS_ANTIGUEDAD,float64,2466,3397,1768,153,1746.0588,-293,567,1326.5,3089,4585,1380.67331
DIAS_ATENCION,int64,5863,0,20,1,1.474159986,-1,1,1,2,26,1.470153142
RX_AVG,float64,5339,524,2593,-40,-25.00215594,-40,-26.94871868,-24.34835294,-22.04822455,-15.07217744,4.408688776
SERIAL_NUMBER,object,5863,0,2017,nan,,,,,,,
ONT_MODEL,object,5863,0,34,MN-CATV2,,,,,,,
SOFTWARE_VERSION,object,5863,0,34,V1.7.1,,,,,,,
