CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION,PROBABILIDAD_RIESGO,PREDICCION_ABANDONO
45783,2026-03-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-03-02,1500503,ACTIVO,SANTIAGUITO,HWTCAF3AC03A,AC,BASINTF250,2025-08-10,203.0,1.0,-29.86692133131654,48575443AF3AC03A,CNA-ONU-4GE2WXCA,V1.7.1,0.076272234,0
30723,2026-03-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,GT. NIVEL MUY BAJO,2026-03-02,1500374,ACTIVO,VIRREY,XPONDD396864,AC,BASINT30,,,1.0,-22.517047184170583,58504F4EDD396864,MN-CATV2,V1.7.1,0.076272234,0
43606,2026-03-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-09,1500039,ACTIVO,PEDREGAL,OPTI37B0C8A5,AC,INT20,2023-10-11,872.0,8.0,-31.195143805309723,4F50544937B0C8A5,IGD,0,0.076272234,0
30858,2026-03-01,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,SIN ACCESO A LA RED,"ER, SE RECOMIENDA VISITA",2026-03-02,1500047,ACTIVO,PRADOS VERDES,XPONDD4CDDD2,AC,INT30,,,1.0,-23.56344567901227,58504F4EDD4CDDD2,MN-WIFI2,V1.7.1,0.076272234,0
46098,2026-03-01,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),NO TIENE ALCANCE LA RED,"ER, SE RECOMIENDA VISITA",2026-03-04,1500047,ACTIVO,PUNHUATO,HWTCAFAB2D07,AC,BASINTF250,2025-10-12,140.0,3.0,-24.241882396449796,48575443AFAB2D07,CNA-ONU-4GE2WXCA,V1.7.1,0.076272234,0
37392,2026-03-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,"ER, FUERA DE LINEA REQUIERE VISITA",2026-03-03,1500047,ACTIVO,PRADOS VERDES,4857544347D15F9D,AC,INT20,,,1.0,-22.04952839506174,4857544347D15F9D,546M,V3R016C10S130,0.076272234,0
31368,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-03,1500039,ACTIVO,PEDREGAL,XPONDD3FCC0F,AC,INT20,,,1.0,-26.583408308751338,58504F4EDD3FCC0F,MN-WIFI2,V1.7.1,0.076272234,0
345083,2026-03-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 75MB,TIT ENTERADO DE CAMBIO DE ACOMETIDA SIN COSTO SOLICITA TEC DAVID E,nan,2026-03-03,1500039,ACTIVO,PEDREGAL,48575443142AD2A9,AC,INT30,,,1.0,-27.639310471976337,48575443142AD2A9,HG8546M,V3R017C10S125,0.076272234,0
32334,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,FOCO ROJO,"ER, FUERA DE LINEA",2026-03-03,1500047,ACTIVO,PRADOS VERDES,XPONDD3FB5FF,AC,BASINT30,2017-04-10,3248.0,1.0,-31.24783827160494,58504F4EDD3FB5FF,MN-CATV2,V1.7.1,0.076272234,0
37322,2026-03-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,REQUIERE VISITA DE FAVOR PARA QUE SE HAGA LA MIGRACION A FIBRA,2026-03-02,1500039,ACTIVO,PERIODISMO,XPONDD41EB83,AC,INT20,,,0.0,-33.83126071608718,58504F4EDD41EB83,None,None,0.6994778,1
3583,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,NO TIENE ALCANCE,"ER, SE RECOMIENDA VISITA",2026-03-03,1500047,ACTIVO,MADERO,XPONDD3C41B0,AC,BASINT30,2014-08-03,4229.0,1.0,-21.78586740740747,58504F4EDD3C41B0,MN-CATV2,V1.7.1,0.0838841,0
43143,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-03,1500047,ACTIVO,PUNHUATO,XPONDD4382A3,AC,BASINT30,2023-10-08,876.0,1.0,-25.173761094674546,58504F4EDD4382A3,MN-CATV2,V1.7.1,0.076272234,0
30796,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,"ER, PENDIENTE MIGRASION",2026-03-04,1500039,ACTIVO,PERIODISMO,XPONDD439E0B,AC,INT20,2017-04-04,3254.0,2.0,-26.930835346215883,58504F4EDD439E0B,MN-WIFI2,V1.7.1,0.076272234,0
46449,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO AMBOS SERVICIOS,"ER, SE MANDA CONFIRMAR",2026-03-04,1500039,ACTIVO,PERIODISMO,HWTC500265B2,AC,BASINTF250,,,2.0,-21.11958162568307,48575443500265B2,CNA-ONU-2GE2WXCA,V1.7.1,0.076272234,0
