CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
42295,2026-02-01,EQUIPO DA?ADO,INTERNET FIBRA 60MB,CLIENTE ENTERADO CAMBIO DE EQUIPO  SIN COSTO ULISES,nan,2026-02-01,1500046,ACTIVO,VIRREY,XPONDD45BHEA,AC,INT20,2023-08-02,XPONDD45BHEA,914.0,0,42295,-23.339828869047775
45662,2026-02-01,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),SIN SEÑAL EN AMBOS SERV,nan,2026-02-04,1500036,ACTIVO,ATAPANEO,XPON1DE0044A,AC,BASINTF250,,XPON1DE0044A,,3,45662,-16.724111498257848
38705,2026-02-01,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-03,5555555,ACTIVO,MADERO,XPONDD2BDAAE,AC,BASINT20,,XPONDD2BDAAE,,2,38705,-23.041186868686832
39243,2026-02-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-03,1500047,ACTIVO,MADERO,48575443A73628A9,AC,INT20,,48575443A73628A9,,2,39243,-26.01098611111115
46347,2026-02-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,"ER, FUERA DE LINEA",2026-02-05,1501177,ACTIVO,RICARDO FLORES MAGON,CDTCAFA3B6A2,AC,INT30,,CDTCAFA3B6A2,,4,46347,-24.285121028744342
2029,2026-02-03,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 120MB,PIDE VISITA POR POCO ALCANCE EN EL MODEM,nan,2026-02-03,1500374,ACTIVO,VIRREY,HWTCAF91329D,AC,BASINT50,2014-04-02,HWTCAF91329D,4325.0,0,2029,-27.5635119047618
43743,2026-02-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-03,1500047,ACTIVO,MADERO,OPTI359D1B5D,AC,INT20,2023-06-12,OPTI359D1B5D,967.0,0,43743,-28.746993686868716
7605,2026-02-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-03,1500039,ACTIVO,PEDREGAL,48575443BA456986,AC,INT30,,48575443BA456986,,0,7605,-25.98196545637929
343508,2026-02-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO,nan,2026-02-03,1500047,ACTIVO,MADERO,XPONDD438ACB,AC,BASINT10,,XPONDD438ACB,,0,343508,-29.382123737373828
38928,2026-02-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-03,1500047,ACTIVO,MADERO,HWTCAFAB572B,AC,BASINTF250,2021-09-08,HWTCAFAB572B,1609.0,0,38928,-30.012646464646675
