CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION
40960,2025-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,MODEM APAGO NO ENCIENDE,JE NIVEL BAJO REQUIERE VISITA,2025-01-02,1500036,ACTIVO,PUNHUATO,XPONDD5CBB6E,AC,INT30,2022-01-06,XPONDD5CBB6E,1091.0,1
37365,2025-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 10MB (NO VIGENTE),SIN SEÑAL EN AMBOS SERVICIOS,JE VALOR DEL RUIDO BAJO REQUIERE VISITA,2025-01-02,1500036,ACTIVO,MADERO,XPON1D432354,AC,BASINT10,2020-03-11,XPON1D432354,1757.0,1
7134,2025-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 20MB,SIGUE SIN SEñAL DESDE LA OS ANTERIOR ,nan,2025-01-02,1500541,ACTIVO,VIRREY,48575443D071E55B,AC,INT20,2024-03-12,48575443D071E55B,295.0,1
44918,2025-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS ROJO,JE MANDO A CC,2025-01-02,1501366,ACTIVO,PRADOS VERDES,XPONDD4CD962,AC,INT30,2025-02-01,XPONDD4CD962,-31.0,1
43415,2025-01-01,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 20MB,FOCOS INTERMITENTES,JE NIVEL BAJO REQUIERE VISITA,2025-01-02,1500039,ACTIVO,PERIODISMO,XPONDD3F6147,AC,BASINT20,,XPONDD3F6147,,1
26116,2025-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,SIN SEÑAL EN AMBOS SERVICIOS,JE NIVEL BAJO REQUIERE VISITA,2025-01-03,1500036,BAJA,PRADOS VERDES,nan,BA,BASINT30,,nan,,1
43050,2025-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,FOCO DE LOS EN ROJO,nan,2025-01-03,1500374,ACTIVO,MIL CUMBRES,XPONDD41E5A3,AC,INT30,2023-05-07,XPONDD41E5A3,606.0,1
1459,2025-01-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 30MB,TEC SOLICITA,nan,2025-01-02,1500039,BAJA,PEDREGAL,nan,BA,INT30,,nan,,0
38042,2025-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 100MB,LOS ROJO ,nan,2025-01-03,1500374,BAJA,VIRREY,nan,BA,INT100,,nan,,1
41791,2025-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 20MB,nan,nan,2025-01-03,1500374,ACTIVO,VISTA BELLA,XPONDD4C44C2,AC,BASINT20,,XPONDD4C44C2,,1
