CONTRATO,TOTAL_FALLAS,RX_AVG_PROMEDIO,DIAS_ATENCION_PROMEDIO,ONT_MODEL,ZONA,TARGET_CHURN
10023,1,-18.122340518455935,2.0,IGD,PEDREGAL,0
10034,1,-26.486845313601,1.0,MN-CATV2,PERIODISMO,0
10035,1,-27.346784390456683,1.0,MN-WIFI2,PERIODISMO,0
10039,1,-24.280152949803057,1.0,BT-213XR,PERIODISMO,0
10049,2,-26.04432515619228,1.0,MN-WIFI2,PERIODISMO,0
10094,4,-26.321620061944305,0.75,MN-CATV2,PEDREGAL,0
10131,1,-20.490085231342178,1.0,MN-CATV2,PEDREGAL,0
10136,1,-22.641239661992152,1.0,DESCONOCIDO,PEDREGAL,0
10146,3,-25.833003515131878,1.0,IGD,PRADOS VERDES,0
10157,1,-19.057783561875915,1.0,BT-213XR,PEDREGAL,0
10162,1,-25.878961649270494,1.0,BT-213XR,PERIODISMO,0
10171,1,-22.849662035102387,3.0,MN-CATV2,PEDREGAL,0
10184,3,-29.39108012963889,2.6666666666666665,MN-CATV2,VIRREY,0
10221,2,-28.729546955624045,2.5,546M,PERIODISMO,0
10228,4,-21.06425140875612,1.0,MN-CATV2,PRADOS VERDES,0
10254,3,-25.34243851927084,1.6666666666666667,546M,PEDREGAL,0
10283,4,-20.054290374130364,2.5,MN-CATV2,PEDREGAL,0
10303,2,-21.61193011116784,0.5,BT-213XR,PEDREGAL,0
10308,4,-25.955318655237757,2.25,MN-CATVDUALM,PEDREGAL,0
10311,2,-22.62304520060909,0.5,MN-CATV2,PEDREGAL,0
10322,2,-32.979437232000066,0.5,BT-213XR,PEDREGAL,0
10345,2,-23.474818643601257,1.0,MN-WIFI2,PRADOS VERDES,0
10369,1,-19.67193541272844,2.0,HG102AT,PERIODISMO,0
10424,1,-29.41240398196521,1.0,BT-211XR,PERIODISMO,0
10454,3,-20.280264432029746,1.6666666666666667,MN-CATVDUALM,PEDREGAL,0
10524,5,-19.445647118472078,1.4,HG104AT,PEDREGAL,0
1055,1,-23.931932974613897,2.0,MN-CATV2,MADERO,1
10550,1,-20.924604406454634,1.0,MN-CATV2,PEDREGAL,0
10573,3,-25.363501550387628,1.0,CNA-ONU-4GE2WXCA,PEDREGAL,0
10580,2,-19.861234910380507,3.5,MN-CATV2,PEDREGAL,0
10604,1,-18.09023569164027,2.0,546M,VIRREY,0
10705,2,-21.948246600079244,2.0,BT-211XR,PEDREGAL,0
1071,1,-20.967519189054304,2.0,BT-213XR,VIRREY,0
10736,5,-22.508703092376575,0.6,CNA-ONU-4GE2WXCA,PEDREGAL,0
1078,2,-19.237601194354117,2.5,HG8546M,BELO,0
10781,2,-20.775417680522956,1.0,MN-CATV2,PEDREGAL,0
10811,1,-20.555544784768177,2.0,HG8546M,PRADOS VERDES,0
10815,1,-25.61409116191212,2.0,BT-213XR,VIRREY,0
10969,1,-24.397574438556855,2.0,MN-CATVDUALM,PERIODISMO,0
1100,2,-20.38881208632283,1.5,MN-CATV2,VIRREY,0
11015,1,-25.579445420529453,2.0,MN-CATV2,PERIODISMO,0
11047,1,-19.151898777327034,1.0,MN-CATV2,PEDREGAL,0
11138,3,-22.812502934371807,1.3333333333333333,546M,PEDREGAL,0
11148,2,-26.603179276047896,2.0,BT-213XR,PERIODISMO,0
11247,1,-21.111658652273913,1.0,MN-WIFI2,MADERO,0
11255,1,-37.130073149402016,2.0,MN-CATVDUALM,PEDREGAL,0
11344,4,-21.513250393786585,1.5,MN-WIFI2,PERIODISMO,0
11358,2,-22.93085417850971,3.0,MN-WIFI2,PERIODISMO,0
11392,2,-22.399279628064185,2.0,BT-213XR,PEDREGAL,0
11424,7,-18.77077475876094,0.42857142857142855,CNA-ONU-4GE2WXCA,PEDREGAL,0
11439,3,-24.991202804746703,2.0,MN-WIFI2,PEDREGAL,0
11447,2,-24.018625532982742,1.0,CNA-ONU-4GE2WXCA,VIRREY,0
11480,1,-20.114851447435225,5.0,MN-CATV2,PEDREGAL,0
11526,1,-23.13721153629057,1.0,MN-CATV2,PEDREGAL,0
11560,2,-19.888148380178492,4.0,HG8546M,PEDREGAL,0
11569,2,-20.532760339686252,0.5,CNA-ONU-4GE2WXCA,PEDREGAL,0
1159,2,-22.970212183155923,0.5,DESCONOCIDO,MADERO,0
11642,3,-24.690299815297795,2.0,BT-213XR,PERIODISMO,0
11695,1,-25.74309409093645,1.0,IGD,VIRREY,0
1173,1,-22.212871064061044,1.0,DESCONOCIDO,BELO,0
11820,1,-20.313162075375995,1.0,MN-CATV2,PEDREGAL,0
1185,2,-28.406714570526717,1.5,MN-CATV2,VIRREY,0
11859,1,-25.049223014780473,1.0,546M,MADERO,0
11912,2,-25.836649627622858,0.0,BT-211XR,PEDREGAL,0
11931,2,-31.190649715679438,5.5,MN-CATV2,PERIODISMO,0
12024,2,-20.498843373493827,2.0,MN-CATV2,VIRREY,0
12040,2,-23.962424471558883,2.0,MN-CATV2,PERIODISMO,0
1205,3,-20.387818134405585,2.3333333333333335,IGD,VIRREY,0
1212,1,-24.016652937679083,0.0,None,MADERO,0
12136,8,-23.688073194772457,2.25,MN-WIFI2,PEDREGAL,0
12204,2,-19.772177841845128,1.0,MN-CATV2,PRADOS VERDES,0
